mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,param_learning_rate,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
1.5558396975199382,0.4669352330275868,0.13710530598958334,0.0011199883617935963,330,3,0.0026826957952797246,"{'n_estimators': 330, 'max_depth': 3, 'learning_rate': np.float64(0.0026826957952797246)}",0.995073649165023,0.9760341111872028,0.9629327909717352,0.978013517107987,0.013195888935565904,9,0.9961440642235994,0.9782512016093818,0.9657689487975619,0.9800547382101811,0.012465992873656745,9,0.995073649165023,0.9760341111872028,0.9629327909717352,0.978013517107987,0.013195888935565904,9,0.9972502375187142,0.9817986197188354,0.971935936316373,0.9836615978513076,0.010418140492502032,9,0.999976828102505,0.998738494818789,0.9958300389180059,0.9981817872797666,0.001738084692637816,12
0.6281328996022543,0.24028275129886395,0.06562225023905437,0.004910258994504617,90,10,0.0026826957952797246,"{'n_estimators': 90, 'max_depth': 10, 'learning_rate': np.float64(0.0026826957952797246)}",0.9946126072102052,0.9874242445061427,0.972732749614413,0.9849232004435869,0.009105802478096767,2,0.9955372234150078,0.9885287399015331,0.974847819744007,0.9863045943535159,0.008591584007212279,2,0.9946126072102052,0.9874242445061427,0.972732749614413,0.9849232004435869,0.009105802478096767,2,0.9964860961499894,0.9899653087521063,0.9786788919718826,0.9883767656246594,0.00735602846247053,2,0.9999719805911654,0.9982091042654423,0.9990770343092775,0.9990860397219617,0.0007197194166441944,9
1.24335781733195,0.37202713831807355,0.12044890721638997,0.0067070082617426115,220,5,0.0026826957952797246,"{'n_estimators': 220, 'max_depth': 5, 'learning_rate': np.float64(0.0026826957952797246)}",0.9947662878618111,0.9867234654629445,0.9698848582970189,0.9837915372072582,0.0103672090995053,3,0.9957394440424858,0.9879365822891907,0.972267109109063,0.9853143784802465,0.009760279757548836,3,0.9947662878618111,0.9867234654629445,0.9698848582970189,0.9837915372072582,0.0103672090995053,3,0.9967404234199299,0.9895464852607709,0.976839780885319,0.9877088965220066,0.008227654287106626,3,0.9999719815267311,0.9987373561843705,0.9991674501876147,0.9992922626329054,0.0005117020903314094,3
1.586812973022461,0.5351119881354771,0.1522404352823893,0.014342740953783581,350,3,0.0517947467923121,"{'n_estimators': 350, 'max_depth': 3, 'learning_rate': np.float64(0.0517947467923121)}",0.9964539652353962,0.976734890230401,0.9709825531378531,0.9813904695345501,0.010907307108956276,6,0.9968495374708602,0.978850535131385,0.9732894716894099,0.9829965147638852,0.010055215404336052,4,0.9964539652353962,0.976734890230401,0.9709825531378531,0.9813904695345501,0.010907307108956276,6,0.9972506777504101,0.9821754500566774,0.9776284379791167,0.985684855262068,0.008386299028067527,4,0.9999883833787685,0.9979255998854016,0.9997519899176758,0.9992219910606153,0.0009217530495350519,7
1.179125467936198,0.39172139417423474,0.11870567003885905,0.007917009503371927,250,3,0.0517947467923121,"{'n_estimators': 250, 'max_depth': 3, 'learning_rate': np.float64(0.0517947467923121)}",0.9967051584029419,0.976734890230401,0.970433705717436,0.9812912514502597,0.011198738834531548,7,0.997052872895383,0.978850535131385,0.9727784109599437,0.9828939396622373,0.010314204306484689,7,0.9967051584029419,0.976734890230401,0.970433705717436,0.9812912514502597,0.011198738834531548,7,0.9974046079608668,0.9821754500566774,0.9772336111833875,0.9856045564003105,0.008584340607028965,7,0.9999886774840666,0.9980088568038225,0.9998210269110005,0.9992728537329633,0.0008963975518039809,5
0.9044898351033529,0.2884730481898506,0.09470971425374348,0.004264605035453206,190,3,0.0517947467923121,"{'n_estimators': 190, 'max_depth': 3, 'learning_rate': np.float64(0.0517947467923121)}",0.9972075447380337,0.976734890230401,0.9702507565772969,0.9813977305152438,0.011488361259035913,4,0.9974593628619365,0.978850535131385,0.9726080038937202,0.9829726339623472,0.010555923604654455,5,0.9972075447380337,0.976734890230401,0.9702507565772969,0.9813977305152438,0.011488361259035913,4,0.9977128868228989,0.9821754500566774,0.9771022238828696,0.9856635202541487,0.008768307779867979,5,0.9999891096243338,0.998089627113317,0.9998464399309713,0.9993083922228742,0.0008637630672649105,2
2.4354503949483237,0.8677751000877976,0.21050063769022623,0.02038774971185139,410,7,0.019306977288832496,"{'n_estimators': 410, 'max_depth': 7, 'learning_rate': np.float64(0.019306977288832496)}",0.9955497085714806,0.976734890230401,0.9654940789336819,0.9792595592451878,0.012399346312253716,8,0.9958666178638675,0.978850535131385,0.968167787583846,0.9809616468596994,0.011406106384080109,8,0.9955497085714806,0.976734890230401,0.9654940789336819,0.9792595592451878,0.012399346312253716,8,0.9961878162513164,0.9821754500566774,0.9737245617915709,0.9840292760331882,0.009263798835402562,8,0.9999840544258817,0.9979031991027623,0.9998051339136939,0.9992307958141126,0.0009415901119601024,6
2.326275666554769,0.7504961756750258,0.2040421962738037,0.012611698205972001,500,3,0.019306977288832496,"{'n_estimators': 500, 'max_depth': 3, 'learning_rate': np.float64(0.019306977288832496)}",0.9972075447380337,0.976734890230401,0.9702507565772969,0.9813977305152438,0.011488361259035913,4,0.9974593628619365,0.978850535131385,0.9726080038937202,0.9829726339623472,0.010555923604654455,5,0.9972075447380337,0.976734890230401,0.9702507565772969,0.9813977305152438,0.011488361259035913,4,0.9977128868228989,0.9821754500566774,0.9771022238828696,0.9856635202541487,0.008768307779867979,5,0.9999891003700413,0.9980233257914689,0.999848006669304,0.9992868109436047,0.0008952738520876104,4
2.7730659643809,1.1151629433982369,0.21288124720255533,0.029528285988809584,410,10,0.001,"{'n_estimators': 410, 'max_depth': 10, 'learning_rate': np.float64(0.001)}",0.9947662878618111,0.9874242445061427,0.9727005618190652,0.9849636980623396,0.009174776402360365,1,0.9957394440424858,0.9885287399015331,0.974844288468096,0.9863708241373716,0.00866580759665637,1,0.9947662878618111,0.9874242445061427,0.9727005618190652,0.9849636980623396,0.009174776402360365,1,0.9967404234199299,0.9899653087521063,0.9787528940131497,0.9884862087283953,0.007417484128734926,1,0.9999730369290548,0.9982120811317635,0.9990821330299006,0.9990890836969063,0.0007189239940505188,8
1.9504801432291667,0.5911354035319561,0.16381613413492838,0.01031371423830276,410,3,0.0071968567300115215,"{'n_estimators': 410, 'max_depth': 3, 'learning_rate': np.float64(0.0071968567300115215)}",0.9960784218352065,0.9760341111872028,0.961286248710484,0.9777995939109645,0.014258600319832494,10,0.9969588955224081,0.9782512016093818,0.9642237786481749,0.979811291926655,0.013409508580132349,10,0.9960784218352065,0.9760341111872028,0.961286248710484,0.9777995939109645,0.014258600319832494,10,0.9978603854804274,0.9817986197188354,0.9707970114011529,0.9834853388668052,0.011112765040012405,10,0.9999866640053042,0.9988255844162311,0.9994106759169944,0.9994076414461767,0.00047401361376398225,1
