mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_kernel,param_gamma,param_class_weight,param_C,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
193.47914385795593,160.31790360358653,17.299941380818684,7.184610045611013,rbf,0.15848931924611143,balanced,0.5994842503189409,"{'kernel': 'rbf', 'gamma': 0.15848931924611143, 'class_weight': 'balanced', 'C': np.float64(0.5994842503189409)}",0.33710028380126206,0.3562950707572239,0.38699416988330676,0.36012984148059757,0.020548788560685625,6,0.23506391361987122,0.2751108263493856,0.3031879871134138,0.27112090902755687,0.027954271319599447,6,0.33710028380126206,0.3562950707572239,0.38699416988330676,0.36012984148059757,0.020548788560685625,6,0.6726173872617388,0.8443280483201208,0.8196841181632056,0.7788765179150218,0.07580713668597135,6,0.8976765221048638,0.9513771574860481,0.9422690384061602,0.9304409059990241,0.02346441415230425,6
214.65498797098795,181.40025802931387,12.46160093943278,4.479756254073994,rbf,0.025118864315095822,balanced,1.6681005372000592,"{'kernel': 'rbf', 'gamma': 0.025118864315095822, 'class_weight': 'balanced', 'C': np.float64(1.6681005372000592)}",0.7125916836413606,0.8813687917629586,0.8607786999166912,0.8182463917736701,0.07518056479105073,2,0.6648674495294398,0.8767772673770349,0.8576535603557951,0.7997660924207567,0.09570671147834171,3,0.7125916836413606,0.8813687917629586,0.8607786999166912,0.8182463917736701,0.07518056479105073,2,0.7856566706363285,0.8811520784177033,0.8682766572077987,0.8450284687539434,0.04230998248343006,3,0.9706450752765413,0.9785278447230006,0.9729538034811614,0.9740422411602344,0.0033088805732883254,4
510.00704741477966,456.88258575213223,18.203835646311443,7.48238342451241,rbf,1.0,,100.0,"{'kernel': 'rbf', 'gamma': 1.0, 'class_weight': None, 'C': np.float64(100.0)}",0.3333333333333333,0.3352321767650613,0.33646812957157785,0.3350112132233241,0.0012892777122380781,7,0.22696855807131724,0.2330208556432584,0.2091265943263633,0.22303866934697966,0.010142877632745524,7,0.3333333333333333,0.3352321767650613,0.33646812957157785,0.3350112132233241,0.0012892777122380781,7,0.17206393328700487,0.5080270972531552,0.47918409069789053,0.3864250404126835,0.1520328757054359,7,0.6686681682119887,0.7973530263755091,0.8182905988098952,0.7614372644657976,0.06615222041963845,7
110.32811236381531,76.81067880828166,12.958022356033325,4.904278401817074,rbf,0.025118864315095822,,0.21544346900318834,"{'kernel': 'rbf', 'gamma': 0.025118864315095822, 'class_weight': None, 'C': np.float64(0.21544346900318834)}",0.35463808843970157,0.4366728402973523,0.5146335529720867,0.4353148272363802,0.0653249330518282,5,0.2700066241654501,0.4049976791480206,0.4943424392290046,0.3897822475141584,0.09221450175148116,5,0.35463808843970157,0.4366728402973523,0.5146335529720867,0.4353148272363802,0.0653249330518282,5,0.8419959401406789,0.8566742366893768,0.8246750340991179,0.8411150703097245,0.013078460417735777,4,0.9629803044532599,0.9733804353226255,0.9657029062687937,0.9673545486815597,0.004403530592582775,5
185.23991576830545,153.20705244674394,17.969851970672607,7.44208604833593,rbf,1.0,balanced,0.21544346900318834,"{'kernel': 'rbf', 'gamma': 1.0, 'class_weight': 'balanced', 'C': np.float64(0.21544346900318834)}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,8,0.15189239464835086,0.14106216670319235,0.20250306431843104,0.1651525418899914,0.026778344529290225,9,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,8,0.09835533935603429,0.08946027333796618,0.14542506370164465,0.11108022546521505,0.02455546761899592,9,0.3839495914343148,0.2691034646344553,0.229302361625042,0.29411847256460405,0.06556551119925558,10
181.82126466433206,149.99786015738155,17.828648726145428,6.947457591529878,rbf,1.0,balanced,0.0774263682681127,"{'kernel': 'rbf', 'gamma': 1.0, 'class_weight': 'balanced', 'C': np.float64(0.0774263682681127)}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,8,0.15189239464835086,0.14106216670319235,0.1578984584924339,0.15028433994799237,0.00696680511390165,10,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,8,0.09835533935603429,0.08946027333796618,0.10345147092888579,0.09708902787429541,0.00578164112132109,10,0.39101357433183653,0.26829541956987774,0.2348396303754986,0.29804954142573764,0.06713943708571173,9
11.78860362370809,7.207417614615027,2.854126532872518,0.8320118049399366,rbf,scale,,12.915496650148826,"{'kernel': 'rbf', 'gamma': 'scale', 'class_weight': None, 'C': np.float64(12.915496650148826)}",0.9497349890445115,0.9464294643606279,0.9214594484445081,0.9392079672832159,0.012622442026932641,1,0.9464883685459166,0.9469501543733269,0.9233057022556062,0.9389147417249498,0.011038867586977884,1,0.9497349890445115,0.9464294643606279,0.9214594484445081,0.9392079672832159,0.012622442026932641,1,0.9440267588848332,0.9480642083440874,0.9305481169926635,0.940879694740528,0.007489164332738143,1,0.9961668590323488,0.9919243660757336,0.9927846664881129,0.9936252971987317,0.0018311529365327927,1
210.91923880577087,182.06237408021946,10.488057851791382,2.6748161637238392,rbf,0.025118864315095822,,1.6681005372000592,"{'kernel': 'rbf', 'gamma': 0.025118864315095822, 'class_weight': None, 'C': np.float64(1.6681005372000592)}",0.7114085566532728,0.8794456563452492,0.8622245392505694,0.8176929174163639,0.07548251773583656,3,0.6656535604155079,0.8767165732115639,0.8602005403527402,0.8008568913266041,0.09584066761189271,2,0.7114085566532728,0.8794456563452492,0.8622245392505694,0.8176929174163639,0.07548251773583656,3,0.7846048764250142,0.8844295621737475,0.8734298346514645,0.8474880910834087,0.044691330372690186,2,0.9708375525197503,0.9786657990119436,0.9732317596021459,0.9742450370446133,0.003275200672446802,3
214.52627261479697,169.0648612074774,14.853595415751139,3.9585078973404904,rbf,1.0,,0.0774263682681127,"{'kernel': 'rbf', 'gamma': 1.0, 'class_weight': None, 'C': np.float64(0.0774263682681127)}",0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,8,0.22696855807131724,0.22901459854014597,0.20250306431843104,0.21949540697663142,0.01204439986495227,8,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,8,0.17206393328700487,0.17442668519805418,0.14542506370164465,0.16397189406223456,0.013150014866066798,8,0.6445996794397734,0.7717251585820563,0.8009853055399434,0.7391033811872577,0.06788348489867223,8
60.01771934827169,39.024828775040085,8.721516768137613,2.862859738238383,rbf,0.003981071705534973,,0.027825594022071243,"{'kernel': 'rbf', 'gamma': 0.003981071705534973, 'class_weight': None, 'C': np.float64(0.027825594022071243)}",0.6423176377400461,0.8713071097180922,0.8318405148518474,0.7818217541033285,0.09995149453379629,4,0.6428306210069823,0.8709485842043105,0.8250915833669871,0.77962359619276,0.09852226373289495,4,0.6423176377400461,0.8713071097180922,0.8318405148518474,0.7818217541033285,0.09995149453379629,4,0.8044894577151004,0.878282549081876,0.8298701129001461,0.8375473732323742,0.030611112666512945,5,0.9781150134534632,0.9794873957857108,0.970685099686326,0.9760958363085,0.0038667739708416198,2
