mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_weights,param_p,param_n_neighbors,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
0.005319515864054362,0.0005031785310481514,1.8484923839569092,0.479066392297637,uniform,2,3,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 3}",0.9031574944142964,0.9038174225083075,0.8947970517560765,0.9005906562262268,0.0041055463168520046,9,0.8975005322883086,0.9022403350026632,0.8906733629810332,0.8968047434240017,0.004747757508906228,10,0.9031574944142964,0.9038174225083075,0.8947970517560765,0.9005906562262268,0.0041055463168520046,9,0.8940084851805564,0.9010709260088947,0.8890493949257063,0.8947096020383859,0.0049327460933551335,10,0.9678605069277418,0.9674976925388129,0.9613073565985752,0.9655551853550434,0.0030073183434649715,10
0.005500396092732747,0.0009153373618278596,1.8314587275187175,0.4589273541770342,uniform,2,4,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 4}",0.8903784098792992,0.9030386238518777,0.9037028458966111,0.8990399598759292,0.0061306407489631065,10,0.8929021543843932,0.9083443115803992,0.9043010359182132,0.9018491672943352,0.006538287213437863,8,0.8903784098792992,0.9030386238518777,0.9037028458966111,0.8990399598759292,0.0061306407489631065,10,0.8968569373985922,0.9150814521540287,0.9073281666863241,0.9064221854129816,0.007467656306522425,5,0.9740779925188091,0.9740882375657888,0.9682501989061513,0.972138809663583,0.0027496662169988954,8
0.005893866221110026,0.0006633166040447355,1.7853500843048096,0.562660709083809,uniform,2,10,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 10}",0.8966137496356353,0.9132201524571424,0.9045458181438981,0.904793240078892,0.0067817926282056325,7,0.8960791239983988,0.9153715320759769,0.9020299980392826,0.9044935513712195,0.008066435545824948,5,0.8966137496356353,0.9132201524571424,0.9045458181438981,0.904793240078892,0.0067817926282056325,7,0.8978531944025745,0.9179436561849522,0.9013902473934584,0.9057290326603283,0.008756919429849018,6,0.9824460314057982,0.9846368117600592,0.9777000979277845,0.9815943136978807,0.002895233667968026,5
0.005406856536865234,0.0009170259398193415,5.989048957824707,2.454013076188843,distance,1,5,"{'weights': 'distance', 'p': 1, 'n_neighbors': 5}",0.9180243386122132,0.9222568775238926,0.9079908596033531,0.9160906919131531,0.005982421973018309,2,0.9147679204548241,0.9229692971817407,0.9065147834169048,0.9147506670178233,0.0067175381934212325,3,0.9180243386122132,0.9222568775238926,0.9079908596033531,0.9160906919131531,0.005982421973018309,2,0.9130398003149596,0.9242672878377037,0.9078126271998052,0.9150399051174896,0.006864851471708601,3,0.9833854717809013,0.9812726439156819,0.9764480099743157,0.9803687085569663,0.0029034368633294766,6
0.005065123240152995,0.0005830505864869491,1.4967997868855794,0.5703363426069149,distance,2,18,"{'weights': 'distance', 'p': 2, 'n_neighbors': 18}",0.9027891937523066,0.9149541912384062,0.8965203261051574,0.9047545703652901,0.007652837158459497,8,0.8984397313492227,0.9153093187052267,0.891178973874618,0.9016426746430225,0.01010816566671038,9,0.9027891937523066,0.9149541912384062,0.8965203261051574,0.9047545703652901,0.007652837158459497,8,0.8975088104969792,0.915948794933367,0.8882011781221636,0.9005529278508365,0.01153061280601589,9,0.9843688746029814,0.986841957114231,0.9806526750064427,0.9839545022412183,0.0025436956831995086,3
0.004671653111775716,0.0011641225451455167,1.7300025622049968,0.5671030174245273,uniform,2,5,"{'weights': 'uniform', 'p': 2, 'n_neighbors': 5}",0.9074465015292018,0.9133205443881227,0.8976553311652015,0.906140792360842,0.006461598545981783,6,0.9015399536257044,0.912400980343843,0.8936487283678934,0.9025298874458136,0.0076875100116367496,7,0.9074465015292018,0.9133205443881227,0.8976553311652015,0.906140792360842,0.006461598545981783,6,0.8982738948331903,0.9118004564743488,0.8922361612514011,0.9007701708529802,0.008179810811499917,8,0.9769882103881627,0.9785470246539179,0.9709061128332898,0.9754804492917901,0.003296552846581271,7
0.004940112431844075,0.000628446179462019,6.267534812291463,2.428452836816311,uniform,1,18,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 18}",0.9126978061249272,0.9195173026755791,0.9113825616908752,0.9145325568304604,0.003565411181116557,3,0.9133176875215122,0.9234824276613992,0.909639681020618,0.9154799320678432,0.005854450429591623,2,0.9126978061249272,0.9195173026755791,0.9113825616908752,0.9145325568304604,0.003565411181116557,3,0.9157860620229901,0.928210603252274,0.9096875901850269,0.9178947518200969,0.007707590750581277,1,0.988356182106616,0.9890785036457596,0.9838644204423758,0.987099702064917,0.002306616928800418,1
0.005234241485595703,0.001243455316634938,1.4733221530914307,0.56416264257564,distance,2,16,"{'weights': 'distance', 'p': 2, 'n_neighbors': 16}",0.9044015579099071,0.9187081010752521,0.8967291208617794,0.9066129266156461,0.009108110176123209,5,0.8996882003330349,0.9184317538373641,0.8917067423283541,0.9032755654995843,0.011201441921104272,6,0.9044015579099071,0.9187081010752521,0.8967291208617794,0.9066129266156461,0.009108110176123209,5,0.8982187887000467,0.9183455539435048,0.8890041591316685,0.9018561672584067,0.012251591854629235,7,0.9844184397053283,0.9865187065561655,0.9803890148632868,0.9837753870415935,0.0025434120925361655,4
0.005243062973022461,0.0008996373281487062,6.02491037050883,2.2259896032010418,uniform,1,9,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 9}",0.91982283256318,0.9246465603339592,0.9085899585895518,0.9176864504955636,0.00672689681545911,1,0.9165677312937048,0.926007628679642,0.9062305652136874,0.9162686417290113,0.008076721726042107,1,0.91982283256318,0.9246465603339592,0.9085899585895518,0.9176864504955636,0.00672689681545911,1,0.9154181310751,0.9277364152966356,0.9062178036596121,0.9164574500104492,0.008815622480698403,2,0.9870965177485452,0.9864046846144525,0.9808477752120388,0.9847829925250121,0.002796916128715244,2
0.00482479731241862,0.00030934118241891665,4.625994126001994,1.2982903263961927,uniform,1,3,"{'weights': 'uniform', 'p': 1, 'n_neighbors': 3}",0.9102860782678466,0.915145870969763,0.906131495904575,0.9105211483807282,0.0036838551294758547,4,0.9079592788184344,0.9155075104560906,0.9037533127501689,0.9090733673415646,0.004862865126342799,4,0.9102860782678466,0.915145870969763,0.906131495904575,0.9105211483807282,0.0036838551294758547,4,0.9067035830491892,0.9166008193141558,0.9038026419054571,0.909035681422934,0.005478889690728042,4,0.9738858686668741,0.9730215237858335,0.9668816991798229,0.9712630305441768,0.0031180999996310607,9
