mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_n_estimators,param_max_depth,params,split0_test_accuracy,split1_test_accuracy,split2_test_accuracy,mean_test_accuracy,std_test_accuracy,rank_test_accuracy,split0_test_f1,split1_test_f1,split2_test_f1,mean_test_f1,std_test_f1,rank_test_f1,split0_test_recall,split1_test_recall,split2_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_precision,split1_test_precision,split2_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_roc_auc,split1_test_roc_auc,split2_test_roc_auc,mean_test_roc_auc,std_test_roc_auc,rank_test_roc_auc
6.331621885299683,2.404547512809327,0.2638772328694661,0.01017288164359169,430,50,"{'n_estimators': 430, 'max_depth': 50}",0.9992610189649893,0.9771411426416489,0.9652587310294386,0.9805536308786923,0.01408953993071915,5,0.9990616836192802,0.9793719741440445,0.9680874611199745,0.982173706294433,0.01279942426155735,4,0.9992610189649893,0.9771411426416489,0.9652587310294386,0.9805536308786923,0.01408953993071915,5,0.9988632436785893,0.9827994160211642,0.9738822821938319,0.9851816472978618,0.010336613841663043,4,0.9999977868013638,0.9988580371182044,0.9985795637643151,0.9991451292279612,0.0006135446494577062,3
4.58650803565979,1.7963578344459226,0.19790911674499512,0.007492632115197468,310,20,"{'n_estimators': 310, 'max_depth': 20}",0.9989469979255797,0.9771411426416489,0.9654415798134943,0.9805099067935744,0.013884396269431106,6,0.9986598936309893,0.9793719741440445,0.9682578998307001,0.9820965892019112,0.01256020042749773,6,0.9989469979255797,0.9771411426416489,0.9654415798134943,0.9805099067935744,0.013884396269431106,6,0.9983754158649298,0.9827994160211642,0.9740092222073137,0.9850613513644692,0.010075220823488452,7,0.9999990362013271,0.9990631116579571,0.9983850327142276,0.9991490601911707,0.0006617110028119031,2
0.8717400232950846,0.34005851311297147,0.05417641003926595,0.001267999909315283,60,20,"{'n_estimators': 60, 'max_depth': 20}",0.9995064779733349,0.9771411426416489,0.9657010864503109,0.9807829023550982,0.014039181703696562,1,0.9992629447445122,0.9793719741440445,0.9684544546650223,0.9823631245178598,0.012754110465874302,2,0.9995064779733349,0.9771411426416489,0.9657010864503109,0.9807829023550982,0.014039181703696562,1,0.9990210474791973,0.9827994160211642,0.9740597587565304,0.985293407418964,0.010341872122374134,2,0.9999985198485101,0.9978815941205254,0.9958958394406744,0.9979253178032366,0.0016751975908395722,11
5.957873344421387,2.291269848773631,0.2605673472086589,0.017802460752746944,420,10,"{'n_estimators': 420, 'max_depth': 10}",0.9988585494369389,0.9771411426416489,0.9636130919729383,0.9798709280171752,0.014517790559838333,10,0.9986594479304798,0.9793719741440445,0.9665521827263571,0.9815278682669605,0.013196086018813408,10,0.9988585494369389,0.9771411426416489,0.9636130919729383,0.9798709280171752,0.014517790559838333,10,0.9984612412146361,0.9827994160211642,0.9727445216205051,0.9846683929521017,0.010581657801657651,10,0.99999877437413,0.9987626881120394,0.998613273329943,0.9991249119387041,0.0006209175260926617,4
1.8408798376719158,0.6530396561300287,0.10269538561503093,0.005702977729124726,170,5,"{'n_estimators': 170, 'max_depth': 5}",0.998855945426965,0.9770182688505366,0.9621503017004936,0.9793415053259985,0.015074794440485713,11,0.9983264957927543,0.9791787916687533,0.965185452321008,0.9808969132608386,0.013584210121876465,11,0.998855945426965,0.9770182688505366,0.9621503017004936,0.9793415053259985,0.015074794440485713,11,0.9978054133138259,0.9824644127905479,0.9717402280179913,0.9840033513741216,0.010696563937375928,11,0.999997015560024,0.99845332200301,0.9982483088449238,0.9988995488026525,0.0007805265579075815,9
3.3193655808766684,1.3033531194881032,0.15038530031840006,0.005618778006670126,230,,"{'n_estimators': 230, 'max_depth': None}",0.9995064779733349,0.9771411426416489,0.9645273358932163,0.9803916521693999,0.014463965668925485,7,0.9992629447445122,0.9793719741440445,0.9674054118932817,0.9820134435939462,0.013139219167131663,7,0.9995064779733349,0.9771411426416489,0.9645273358932163,0.9803916521693999,0.014463965668925485,7,0.9990210474791973,0.9827994160211642,0.9733755686363056,0.9850653440455557,0.010591615194076667,6,0.9999991102562923,0.9986753724301848,0.9983255586471683,0.9990000137778817,0.000720757819047081,7
5.892061948776245,2.300724590968845,0.24850591023763022,0.006802044677200803,400,,"{'n_estimators': 400, 'max_depth': None}",0.9991040084452845,0.9771411426416489,0.9641616383251052,0.9801355964706794,0.014421450983507106,9,0.9988607621938291,0.9793719741440445,0.9670642096663756,0.981765648668083,0.013090771468304199,9,0.9991040084452845,0.9771411426416489,0.9641616383251052,0.9801355964706794,0.014421450983507106,9,0.9986191507759964,0.9827994160211642,0.9731228379451341,0.9848471349140983,0.010509055031754205,9,0.9999982346891197,0.9988090688959849,0.9983268530698917,0.9990447188849988,0.0007023898809374844,6
1.1688892841339111,0.46653203576340724,0.06466515858968098,0.0020183173664950677,80,,"{'n_estimators': 80, 'max_depth': None}",0.9990367484192074,0.9771411426416489,0.9656244285975498,0.9806007732194687,0.013858151915447283,3,0.998827020759597,0.9793719741440445,0.9684283092433441,0.9822091013823285,0.012571326731541385,3,0.9990367484192074,0.9771411426416489,0.9656244285975498,0.9806007732194687,0.013858151915447283,3,0.998619076644594,0.9827994160211642,0.9741362671298978,0.9851849199318853,0.010136401797951614,3,0.9999968435183119,0.998757929058076,0.9969445822234198,0.9985664515999358,0.0012534146602530697,10
3.3628108501434326,1.2998484328017652,0.15629943211873373,0.012676634067408463,230,20,"{'n_estimators': 230, 'max_depth': 20}",0.9990155599566437,0.9771411426416489,0.9661729749497167,0.9807765591826697,0.013652131397803873,2,0.9988603691220796,0.9793719741440445,0.968939362393313,0.9823905685531457,0.012400284810458111,1,0.9990155599566437,0.9771411426416489,0.9661729749497167,0.9807765591826697,0.013652131397803873,2,0.9987055868037276,0.9827994160211642,0.9745180326544022,0.9853410118264313,0.01003674003713857,1,0.9999983712865944,0.9986065830187719,0.9983216853562054,0.9989755465538573,0.0007325387338828978,8
5.838911374409993,1.9954635173275348,0.2376079559326172,0.029981781088037018,420,20,"{'n_estimators': 420, 'max_depth': 20}",0.9991040084452845,0.9771411426416489,0.9654415798134943,0.9805622436334759,0.013953917594348456,4,0.9988607621938291,0.9793719741440445,0.9682578998307001,0.9821635453895246,0.012648542701779212,5,0.9991040084452845,0.9771411426416489,0.9654415798134943,0.9805622436334759,0.013953917594348456,4,0.9986191507759964,0.9827994160211642,0.9740092222073137,0.9851425963348247,0.010182665549048255,5,0.9999985708265351,0.9988363607310672,0.9984965638685844,0.9991104984753956,0.0006431017817744158,5
